text,meaning,partOfSpeech,exampleSentence,pronunciation,synonyms,antonyms,isLearned,meaning_test_en,meaning_test_ko,meaning_test_zh,meaning_test_ja,synonym_test_en,antonym_test_en
Abate,To become less intense or widespread,verb,The storm quickly began to abate.,/əˈbeɪt/,subside,increase,false,become less intense| increase| worsen| intensify,약해지다| 강해지다| 악화되다| 심해지다,减弱| 增强| 恶化| 加剧,弱まる| 強まる| 悪化する| 激しくなる,subside| intensify| increase| grow,increase| augment| expand| subside
Abdicate,To give up a position of power or responsibility,verb,The king decided to abdicate his throne.,/ˈæbdɪkeɪt/,resign,assume,false,give up power| take power| maintain| grasp,퇴위하다| 권력을 잡다| 유지하다| 쥐다,放弃权力| 掌握权力| 维持| 抓住,退位する| 権力を握る| 維持する| 掴む,resign| quit| retire| abdicate,assume| keep| retain| usurp
Aberration,A departure from what is normal, usual, or expected,noun,His outburst was an aberration from his usual calm demeanor.,/ˌæbəˈreɪʃən/,anomaly,normality,false,departure from normal| normal behavior| expected outcome| standard rule,일탈| 정상 행동| 예상 결과| 표준 규칙,异常| 正常行为| 预期结果| 标准规则,逸脱| 正常な行動| 予想される結果| 標準ルール
Abhor,To regard with disgust and hatred,verb,She abhors racism in any form.,/æbˈhɔːr/,detest,love,false,regard with hatred| admire| tolerate| embrace,혐오하다| 존경하다| 용인하다| 받아들이다,憎恨| 钦佩| 容忍| 拥抱,嫌悪する| 尊敬する| 容認する| 受け入れる,detest| loathe| abominate| despise,love| adore| like| cherish
Abjure,Solemnly renounce (a belief, cause, or claim),verb,He abjured his former beliefs.,/æbˈdʒʊər/,forswear,adhere,false,solemnly renounce| embrace| confirm| maintain,공식적으로 포기하다| 받아들이다| 확인하다| 유지하다,郑重放弃| 拥抱| 确认| 维持,公式に放棄する| 受け入れる| 確認する| 維持する
Ablution,The act of washing oneself (often for religious reasons),noun,The priest performed his morning ablutions.,/əˈbluːʃən/,washing,dirtiness,false,act of washing| act of eating| act of sleeping| act of praying,세정| 식사| 수면| 기도,洗礼| 吃饭| 睡觉| 祈祷,洗浄| 食事| 睡眠| 祈祷,washing| cleansing| purification| bathing,dirtiness| contamination| filth| pollution
Abnegate,Renounce or reject (something desirable),verb,They had to abnegate their luxuries.,/ˈæbnɪɡeɪt/,deny,indulge,false,renounce| accept| desire| allow,포기하다| 받아들이다| 원하다| 허용하다,放弃| 接受| 渴望| 允许,放棄する| 受け入れる| 望む| 許す,deny| renounce| reject| forgo,indulge| accept| crave| desire
Abolish,Formally put an end to (a system, practice, or institution),verb,Slavery was abolished in the 19th century.,/əˈbɒlɪʃ/,end,establish,false,put an end to| establish| create| promote,폐지하다| 설립하다| 창조하다| 촉진하다,废除| 建立| 创造| 促进,廃止する| 設立する| 創造する| 促進する
Abominate,Detest; loathe,verb,He abominates all forms of cruelty.,/əˈbɒmɪneɪt/,hate,love,false,detest| admire| love| tolerate,몹시 싫어하다| 존경하다| 사랑하다| 용인하다,憎恶| 钦佩| 爱| 容忍,嫌悪する| 尊敬する| 愛する| 容認する,hate| despise| loathe| execrate,love| adore| admire| cherish
Abrogate,Repeal or do away with (a law, right, or agreement),verb,The new law was designed to abrogate previous agreements.,/ˈæbrəɡeɪt/,revoke,institute,false,repeal| establish| enforce| confirm,폐지하다| 제정하다| 강제하다| 확인하다,废除| 建立| 强制执行| 确认,廃止する| 制定する| 強制する| 確認する
Abscond,Leave hurriedly and secretly, typically to avoid detection of or arrest for an unlawful action,verb,He absconded with the company's funds.,/æbˈskɒnd/,flee,stay,false,flee| stay| appear| report,도주하다| 머무르다| 나타나다| 보고하다,潜逃| 留下| 出现| 报告,逃亡する| 留まる| 現れる| 報告する,flee| escape| bolt| decamp
Absolve,Declare (someone) free from guilt, obligation, or punishment,verb,The jury absolved him of the crime.,/æbˈzɒlv/,exonerate,condemn,false,declare free from guilt| condemn| accuse| punish,죄를 면하게 하다| 유죄로 하다| 비난하다| 처벌하다,宣告无罪| 谴责| 指责| 惩罚,無罪を宣告する| 有罪とする| 非難する| 罰する
Abstain,Restrain oneself from doing or enjoying something,verb,She chose to abstain from alcohol.,/æbˈsteɪn/,refrain,indulge,false,refrain from| indulge in| participate| embrace,삼가다| 탐닉하다| 참여하다| 받아들이다,戒除| 沉迷| 参与| 拥抱,慎む| 耽溺する| 参加する| 受け入れる,refrain| forbear| desist| avoid,indulge| partake| yield| continue
Abstruse,Difficult to understand; obscure,adjective,The philosopher's theories were too abstruse for me.,/æbˈstruːs/,esoteric,clear,false,difficult to understand| clear| simple| obvious,이해하기 어려운| 명확한| 간단한| 명백한,难以理解| 清晰| 简单| 明显,理解が難しい| 明確な| 簡単な| 明らかな,esoteric| profound| complex| recondite,clear| obvious| simple| lucid
Abysmal,Extremely bad; appalling,adjective,The team's performance was abysmal.,/əˈbɪzməl/,dreadful,excellent,false,extremely bad| excellent| good| average,끔찍한| 훌륭한| 좋은| 보통의,极差的| 优秀| 好| 一般,ひどく悪い| 素晴らしい| 良い| 平均的な,dreadful| terrible| awful| appalling,excellent| superb| great| wonderful
Accolade,An award or privilege granted as a special honor or as an acknowledgment of merit,noun,She received an accolade for her research.,/ˈækəleɪd/,honor,disgrace,false,award| criticism| penalty| insult,표창| 비판| 벌칙| 모욕,荣誉| 批评| 惩罚| 侮辱,栄誉| 批判| 罰則| 侮辱,honor| award| tribute| praise,disgrace| censure| criticism| condemnation
Accost,Approach and address (someone) boldly or aggressively,verb,He was accosted by a stranger.,/əˈkɒst/,confront,avoid,false,approach boldly| avoid| ignore| retreat from,과감히 다가가 말을 걸다| 피하다| 무시하다| 후퇴하다,大胆搭讪| 避免| 忽略| 撤退,大胆に話しかける| 避ける| 無視する| 退却する,confront| challenge| hail| waylay,avoid| shun| evade| ignore
Accrue,To accumulate or receive (payments or benefits) over time,verb,Interest will accrue on the account.,/əˈkruː/,accumulate,diminish,false,accumulate| diminish| spend| distribute,누적되다| 줄어들다| 소비하다| 분배하다,累积| 减少| 花费| 分配,蓄積する| 減少する| 消費する| 分配する,accumulate| collect| gather| increase,diminish| decrease| lessen| shrink
Acerbic,Sharply or bitingly critical in a witty, sarcastic, or ironic way,adjective,Her acerbic wit alienated many.,/əˈsɜːrbɪk/,sarcastic,mild,false,sharply critical| mild| gentle| sweet,신랄한| 온화한| 부드러운| 달콤한,尖刻的| 温和| 柔和| 甜美,辛辣な| 温和な| 優しい| 甘い
Acquiesce,Accept something reluctantly but without protest,verb,He acquiesced to his boss's demands.,/ˌækwiˈɛs/,assent,resist,false,accept reluctantly| resist| refuse| object,마지못해 따르다| 저항하다| 거부하다| 반대하다,勉强接受| 抵抗| 拒绝| 反对,しぶしぶ受け入れる| 抵抗する| 拒否する| 反対する,assent| consent| comply| agree,resist| oppose| dissent| refuse
Acrimony,Bitterness or ill feeling,noun,The dispute was settled without acrimony.,/ˈækrɪməni/,rancor,harmony,false,bitterness| harmony| kindness| affection,악감정| 조화| 친절| 애정,刻薄| 和谐| 善良| 感情,辛辣さ| 調和| 親切| 愛情,rancor| bitterness| animosity| hostility,harmony| goodwill| friendliness| accord
Acumen,The ability to make good judgments and quick decisions, typically in a particular domain,noun,He showed great business acumen.,/əˈkjuːmən/,shrewdness,ignorance,false,sharpness of mind| dullness| ignorance| foolishness,뛰어난 판단력| 둔함| 무지| 어리석음,敏锐| 迟钝| 无知| 愚蠢,洞察力| 鈍さ| 無知| 愚かさ,shrewdness| astuteness| discernment| insight
Adamant,Refusing to be persuaded or to change one's mind,adjective,He was adamant about his decision.,/ˈædəmənt/,unyielding,flexible,false,unyielding| flexible| uncertain| hesitant,단호한| 유연한| 불확실한| 망설이는,坚定的| 灵活| 不确定| 犹豫,断固とした| 柔軟な| 不確実な| 躊躇する,unyielding| resolute| firm| inflexible,flexible| yielding| pliable| soft
Admonish,Warn or reprimand someone firmly,verb,She admonished him for his bad behavior.,/ædˈmɒnɪʃ/,reprimand,praise,false,warn| praise| encourage| reward,훈계하다| 칭찬하다| 격려하다| 보상하다,警告| 赞扬| 鼓励| 奖励,警告する| 褒める| 励ます| 報いる,reprimand| rebuke| scold| censure,praise| commend| applaud| flatter
Adroit,Clever or skillful in using the hands or mind,adjective,He was adroit at problem-solving.,/əˈdrɔɪt/,skillful,clumsy,false,skillful| clumsy| awkward| unskilled,능숙한| 서투른| 어색한| 미숙한,熟练的| 笨拙| 尴尬| 不熟练,巧みな| 不器用な| ぎこちない| 未熟な,skillful| dexterous| adept| nimble,clumsy| awkward| inept| unskilled
Adulation,Excessive admiration or praise,noun,He basked in the adulation of his fans.,/ˌædʒuˈleɪʃən/,worship,criticism,false,excessive praise| criticism| disapproval| scorn,과도한 찬양| 비판| 불승인| 경멸,过分赞扬| 批评| 不赞成| 轻蔑,過度な称賛| 批判| 不承認| 軽蔑,worship| flattery| idolization| praise,criticism| condemnation| disapproval| scorn
Aesthetic,Concerned with beauty or the appreciation of beauty,adjective,The design has great aesthetic appeal.,/iːsˈθɛtɪk/,artistic,unattractive,false,concerned with beauty| ugly| unappealing| tasteless,미적| 못생긴| 매력 없는| 촌스러운,美学| 丑陋| 不吸引人| 没品味,美的な| 醜い| 魅力的でない| 趣味の悪い,artistic| beautiful| pleasing| elegant,unattractive| ugly| hideous| repulsive
Affable,Friendly, good-natured, or easy to talk to,adjective,He was an affable host.,/ˈæfəbl/,amiable,unfriendly,false,friendly| unfriendly| rude| hostile,상냥한| 불친절한| 무례한| 적대적인,和蔼可亲| 不友好| 粗鲁| 敌对,愛想の良い| 不親切な| 無礼な| 敵対的な
Affectation,Behavior, speech, or writing that is artificial and designed to impress,noun,His accent was a pure affectation.,/ˌæfɛkˈteɪʃən/,pretense,naturalness,false,artificial behavior| naturalness| sincerity| genuineness,가식| 자연스러움| 진실성| 순수함,做作| 自然| 真诚| 真实,気取り| 自然さ| 誠実さ| 真実
Affinity,A spontaneous or natural liking or sympathy for someone or something,noun,She had a natural affinity for languages.,/əˈfɪnɪti/,rapport,dislike,false,natural liking| dislike| aversion| hatred,자연스러운 친화력| 싫어함| 혐오| 증오,亲和力| 不喜欢| 厌恶| 憎恨,親和性| 嫌悪| 嫌い| 憎悪,rapport| sympathy| bond| liking,dislike| aversion| antipathy| hatred
Affluent,Having a great deal of money; wealthy,adjective,The affluent neighborhood had large houses.,/ˈæfluːənt/,wealthy,poor,false,wealthy| poor| struggling| impoverished,부유한| 가난한| 힘든| 빈곤한,富裕的| 贫穷| 挣扎| 贫困,裕福な| 貧しい| 苦しい| 貧困な,wealthy| rich| prosperous| opulent,poor| impoverished| destitute| needy
Agenda,A list of items to be discussed at a formal meeting,noun,The first item on the agenda was the budget.,/əˈdʒɛndə/,program,disorder,false,list of items| chaos| disorganization| unplanned,안건 목록| 혼돈| 무질서| 계획되지 않은,议程| 混乱| 无序| 无计划,議題| 混乱| 無秩序| 計画されていない,program| schedule| plan| calendar,disorder| chaos| confusion| mess
Aggregate,A whole formed by combining several separate elements,noun,The aggregate of the scores was 150.,/ˈæɡrɪɡət/,total,individual,false,total| individual| single| part,총합| 개별| 단일| 부분,总和| 个人| 单一| 部分,合計| 個別| 単一| 部分,total| sum| collection| combination,individual| part| component| piece
Agnostic,A person who believes that nothing is known or can be known of the existence or nature of God or of anything beyond material phenomena,noun,He declared himself an agnostic.,/æɡˈnɒstɪk/,skeptic,believer,false,one who doubts existence of God| believer| atheist| devotee,신 존재를 의심하는 사람| 신자| 무신론자| 신봉자,不可知论者| 信徒| 无神论者| 奉献者,不可知論者| 信者| 無神論者| 信奉者,skeptic| doubter| unbeliever| questioner,believer| theist| devotee| follower
Alacrity,Brisk and cheerful readiness,noun,She accepted the invitation with alacrity.,/əˈlækrɪti/,eagerness,reluctance,false,eagerness| reluctance| hesitation| slowness,민첩함| 꺼림| 망설임| 느림,敏捷| 不情愿| 犹豫| 缓慢,敏捷さ| 気が進まないこと| 躊躇| 遅さ,eagerness| readiness| promptness| willingness,reluctance| hesitation| apathy| unwillingness
Allege,Claim or assert that someone has done something illegal or wrong,verb,He alleged that he was unfairly dismissed.,/əˈlɛdʒ/,claim,deny,false,claim| deny| prove| confirm,주장하다| 부인하다| 증명하다| 확인하다,声称| 否认| 证明| 确认,主張する| 否定する| 証明する| 確認する,claim| assert| contend| declare,deny| disprove| refute| retract
Alleviate,Make suffering, deficiency, or a problem less severe,verb,Medicine can alleviate pain.,/əˈliːvieɪt/,relieve,aggravate,false,make less severe| worsen| intensify| aggravate,경감시키다| 악화시키다| 심화시키다| 강화하다,减轻| 恶化| 加剧| 加强,和らげる| 悪化させる| 強める| 激化させる
Allocate,Distribute (resources or duties) for a particular purpose,verb,We need to allocate funds for the project.,/ˈæləkeɪt/,assign,withhold,false,distribute| withhold| keep| take,할당하다| 보류하다| 유지하다| 가져가다,分配| 扣留| 保留| 拿走,割り当てる| 差し控える| 維持する| 取る,assign| apportion| distribute| allot,withhold| retain| deny| take
Allure,The quality of being powerfully and mysteriously attractive or fascinating,noun,The city's allure was undeniable.,/əˈlʊər/,attraction,repulsion,false,attraction| repulsion| distaste| boredom,매력| 반감| 혐오감| 지루함,诱惑| 排斥| 厌恶| 无聊,魅力| 反発| 嫌悪| 退屈,attraction| charm| appeal| fascination,repulsion| aversion| disgust| repellent
Altruistic,Showing a disinterested and selfless concern for the well-being of others,adjective,His altruistic actions saved many lives.,/ˌæltruˈɪstɪk/,philanthropic,selfish,false,selfless| selfish| greedy| unkind,이타적인| 이기적인| 탐욕스러운| 불친절한,利他主义的| 自私| 贪婪| 不善良,利他的な| 利己的な| 貪欲な| 不親切な,philanthropic| benevolent| charitable| unselfish,selfish| egoistic| greedy| self-centered
Amalgamate,Combine or unite to form one organization or structure,verb,The two companies amalgamated.,/əˈmælɡəmeɪt/,merge,separate,false,combine| separate| divide| split,합병하다| 분리하다| 나누다| 쪼개다,合并| 分离| 分割| 分裂,合併する| 分離する| 分割する| 分裂する,merge| combine| unite| blend,separate| divide| split| dissociate
Ambiguous,Open to more than one interpretation; having a double meaning,adjective,The question was ambiguous.,/æmˈbɪɡjuəs/,unclear,clear,false,unclear| clear| definite| precise,모호한| 명확한| 명확한| 정확한,模糊的| 清晰| 明确| 精确,曖昧な| 明確な| 明確な| 正確な,unclear| vague| equivocal| dubious,clear| explicit| precise| unambiguous
Amenable,Open and responsive to suggestion; easily persuaded or controlled,adjective,He was amenable to change.,/əˈmiːnəbl/,compliant,unwilling,false,compliant| unwilling| resistant| stubborn,순종적인| 꺼리는| 저항하는| 고집 센,顺从的| 不情愿| 抗拒| 顽固,素直な| 気が進まない| 抵抗する| 頑固な,compliant| docile| obedient| tractable,unwilling| resistant| stubborn| intractable
Anachronism,A thing belonging or appropriate to a period other than that in which it exists,noun,A sword in a modern army is an anachronism.,/əˈnækranɪzəm/,misplacement,correctness,false,misplacement in time| correct placement| accurate item| timely object,시대착오| 정확한 배치| 정확한 항목| 적절한 시기,时代错位| 正确放置| 准确项目| 及时对象,時代錯誤| 正しい配置| 正確な項目| 時宜を得たもの,misplacement| incongruity| solecism| anomaly,correctness| appropriateness| timeliness| modernity
Analogy,A comparison between two things,noun,He drew an analogy between the brain and a computer.,/əˈnælɪdʒi/,comparison,difference,false,comparison| difference| contrast| dissimilarity,비유| 차이| 대조| 다름,类比| 差异| 对比| 不同,類推| 違い| 対比| 相違,comparison| parallel| correlation| similarity,difference| contrast| dissimilarity| disparity
Anathema,Something or someone that one vehemently dislikes,noun,Racial prejudice was anathema to him.,/əˈnæθəmə/,abomination,blessing,false,something hated| blessing| delight| favorite,혐오스러운 것| 축복| 기쁨| 가장 좋아하는 것,厌恶的事物| 祝福| 喜悦| 最爱,嫌悪の対象| 祝福| 喜び| お気に入り,abomination| curse| execration| pariah,blessing| delight| joy| treasure
Ancillary,Providing necessary support to the primary activities of an organization,adjective,The ancillary staff supported the doctors.,/ˈænsɪləri/,subsidiary,primary,false,subsidiary| primary| main| essential,보조적인| 주요한| 주된| 필수적인,辅助的| 主要的| 主要的| 必要,補助的な| 主要な| 主要な| 必要,subsidiary| secondary| auxiliary| additional,primary| main| essential| chief
Animosity,Strong hostility,noun,There was animosity between the rivals.,/ˌænɪˈmɒsɪti/,hostility,friendship,false,strong hostility| friendship| goodwill| affection,강한 적대감| 우정| 호의| 애정,强烈敌意| 友谊| 善意| 感情,强烈敌意| 友谊| 善意| 感情,hostility| antagonism| enmity| hatred,friendship| goodwill| amity| affection
Anomaly,Something that deviates from what is standard, normal, or expected,noun,His poor test score was an anomaly.,/əˈnɒməli/,aberration,norm,false,deviation from norm| norm| standard| regularity,변칙| 표준| 규칙성| 정상,异常| 规范| 标准| 规律性,異常| 規範| 標準| 規則性
Antipathy,A deep-seated feeling of dislike; aversion,noun,There was a strong antipathy between them.,/ænˈtɪpəθi/,hostility,liking,false,strong dislike| liking| affection| fondness,강한 반감| 호감| 애정| 좋아함,强烈厌恶| 喜欢| 感情| 喜爱,強い嫌悪| 好意| 愛情| 好感,hostility| aversion| dislike| animosity,liking| affinity| fondness| attraction
Apathy,Lack of interest, enthusiasm, or concern,noun,Voter apathy was a concern.,/ˈæpəθi/,indifference,enthusiasm,false,lack of interest| enthusiasm| excitement| passion,무관심| 열정| 흥분| 열정,漠不关心| 热情| 兴奋| 激情,無関心| 熱意| 興奮| 情熱
Apocryphal,Of doubtful authenticity, although widely circulated as being true,adjective,The story about the ghost was probably apocryphal.,/əˈpɒkrɪfəl/,fictitious,authentic,false,doubtful authenticity| authentic| true| verified,진위가 의심스러운| 진짜의| 사실의| 확인된,真实性可疑| 真实| 真实| 验证,真偽が疑わしい| 本物| 真実| 検証済み,fictitious| unverified| dubious| unsubstantiated
Apparatus,A complex machine or device for a particular purpose,noun,The scientific apparatus was intricate.,/ˌæpəˈreɪtəs/,equipment,simplicity,false,complex device| simplicity| basic tool| easy machine,복잡한 장치| 단순함| 기본 도구| 쉬운 기계,复杂装置| 简单| 基本工具| 简单机器,複雑な装置| 単純さ| 基本的なツール| 簡単な機械,equipment| device| machinery| mechanism,simplicity| rudiment| basic| simplification
Appease,Pacify or placate (someone) by acceding to their demands,verb,He tried to appease his angry critics.,/əˈpiːz/,mollify,provoke,false,pacify| provoke| anger| irritate,달래다| 도발하다| 화나게 하다| 짜증나게 하다,安抚| 挑衅| 愤怒| 激怒,なだめる| 挑発する| 怒らせる| いらいらさせる,mollify| pacify| placate| conciliate,provoke| incite| enrage| aggravate
Apprehensive,Anxious or fearful that something bad or unpleasant will happen,adjective,She was apprehensive about the exam.,/ˌæprɪˈhɛnsɪv/,anxious,confident,false,anxious| confident| calm| relaxed,불안한| 자신감 있는| 침착한| 편안한,焦虑| 自信| 平静| 放松,不安な| 自信がある| 落ち着いた| リラックスした,anxious| fearful| uneasy| worried,confident| calm| relaxed| assured
