text,meaning,partOfSpeech,exampleSentence,pronunciation,synonyms,antonyms,isLearned,meaning_test_en,meaning_test_ko,meaning_test_zh,meaning_test_ja,synonym_test_en,antonym_test_en
Arbiter,A person who settles a dispute or has ultimate authority in a matter,noun,The judge acted as an arbiter.,/ˈɑːrbɪtər/,mediator,disputant,false,mediator| disputant| participant| biased party,중재자| 분쟁 당사자| 참가자| 편향된 당사자,仲裁人| 争议者| 参与者| 偏袒方,仲裁者| 紛争当事者| 参加者| 偏った当事者,mediator| judge| umpire| referee,disputant| participant| contender| litigant
Archaic,Very old or old-fashioned,adjective,The law was archaic and needed updating.,/ɑːrˈkeɪɪk/,obsolete,modern,false,very old-fashioned| modern| current| new,매우 구식의| 현대적인| 현재의| 새로운,非常老式的| 现代| 当前| 新的,非常に古風な| 現代的な| 現在の| 新しい,obsolete| ancient| antiquated| old-fashioned,modern| current| new| contemporary
Arduous,Involving or requiring strenuous effort; difficult and tiring,adjective,It was an arduous journey.,/ˈɑːrdʒuəs/,difficult,easy,false,difficult| easy| simple| effortless,힘든| 쉬운| 간단한| 수월한,艰巨的| 简单| 轻松| 不费力,困難な| 簡単な| 単純な| 楽な,difficult| strenuous| laborious| taxing,easy| simple| effortless| facile
Arrogant,Having or revealing an exaggerated sense of one's own importance or abilities,adjective,His arrogant attitude alienated his colleagues.,/ˈærəɡənt/,haughty,humble,false,haughty| humble| modest| polite,오만한| 겸손한| 겸손한| 예의 바른,傲慢| 谦逊| 谦虚| 有礼貌,傲慢な| 謙虚な| 控えめな| 丁寧な,haughty| conceited| supercilious| proud,humble| modest| meek| unassuming
Articulate,Having or showing the ability to speak fluently and coherently,adjective,She was an articulate speaker.,/ɑːrˈtɪkjuleɪt/,eloquent,inarticulate,false,eloquent| inarticulate| stammering| unclear,유창한| 어눌한| 더듬거리는| 불분명한,口齿清晰| 口齿不清| 口吃| 不清楚,明瞭な| 不明瞭な| 吃る| 不明確な,eloquent| fluent| clear| expressive,inarticulate| mumbling| stammering| unclear
Ascetic,Characterized by severe self-discipline and abstention from all forms of indulgence,adjective,He lived an ascetic life.,/əˈsɛtɪk/,austere,luxurious,false,austere| luxurious| indulgent| comfortable,금욕적인| 호화로운| 방종한| 편안한,苦行僧的| 奢华| 放纵| 舒适,禁欲的な| 贅沢な| 放縦な| 快適な,austere| strict| self-denying| rigorous,luxurious| indulgent| hedonistic| epicurean
Aspire,Direct one's hopes or ambitions toward achieving something,verb,He aspired to become a doctor.,/əˈspaɪər/,aim,despair,false,aim for| despair| neglect| abandon,목표로 하다| 절망하다| 무시하다| 버리다,向往| 绝望| 忽视| 放弃,目指す| 絶望する| 無視する| 放棄する,aim| seek| strive| yearn,despair| give up| neglect| abandon
Assiduous,Showing great care and perseverance,adjective,She was assiduous in her studies.,/əˈsɪdʒuəs/,diligent,lazy,false,diligent| lazy| careless| negligent,근면한| 게으른| 부주의한| 태만한,勤奋的| 懒惰| 马虎| 疏忽,勤勉な| 怠惰な| 不注意な| 怠慢な,diligent| painstaking| meticulous| persistent,lazy| careless| negligent| indolent
Assuage,Make (an unpleasant feeling) less intense,verb,He assuaged her fears.,/əˈsweɪdʒ/,alleviate,aggravate,false,alleviate| aggravate| worsen| intensify,완화하다| 악화시키다| 심화시키다| 강화하다,减轻| 恶化| 加剧| 加强,和らげる| 悪化させる| 強める| 激化させる,alleviate| ease| mitigate| relieve,aggravate| worsen| intensify| heighten
Astringent,Causing the contraction of body tissues,adjective,The bitter taste was astringent.,/əˈstrɪndʒənt/,constricting,relaxing,false,constricting| relaxing| soothing| expanding,수렴성의| 이완시키는| 진정시키는| 확장시키는,收敛的| 放松| 舒缓| 扩张,収斂性の| リラックスさせる| 落ち着かせる| 拡大させる,constricting| contracting| sharp| severe,relaxing| soothing| expanding| mild
Astute,Having or showing an ability to accurately assess situations or people and turn this to one's advantage,adjective,"An astute businessman, he made wise investments.",/əˈstjuːt/,shrewd,naive,false,shrewd| naive| foolish| ignorant,기민한| 순진한| 어리석은| 무지한,精明的| 天真| 愚蠢| 无知,聡明な| 純粋な| 愚かな| 無知な,shrewd| keen| discerning| sagacious,naive| foolish| ignorant| gullible
Attrition,The action or process of gradually reducing the strength or effectiveness of someone or something,noun,The war was a war of attrition.,/əˈtrɪʃən/,erosion,buildup,false,erosion| buildup| growth| increase,마모| 축적| 성장| 증가,磨损| 积聚| 增长| 增加,摩耗| 蓄積| 成長| 増加,erosion| wearing away| decline| debilitation,buildup| growth| increase| accumulation
Audacious,Showing a willingness to take surprisingly bold risks,adjective,He made an audacious decision.,/ɔːˈdeɪʃəs/,bold,timid,false,bold| timid| cautious| hesitant,대담한| 소심한| 신중한| 망설이는,大胆| 胆小| 谨慎| 犹豫,大胆な| 臆病な| 慎重な| 躊躇する,bold| daring| fearless| intrepid,timid| cautious| meek| cowardly
Augment,Make (something) greater by adding to it; increase,verb,He augmented his income by working overtime.,/ɔːɡˈmɛnt/,increase,decrease,false,increase| decrease| reduce| lessen,증가시키다| 감소시키다| 줄이다| 적게 하다,增加| 减少| 减少| 减轻,増強する| 減少させる| 減らす| 少なくする,increase| enlarge| expand| extend,decrease| reduce| lessen| shrink
Auspicious,Conducive to success; favorable,adjective,It was an auspicious start to the project.,/ɔːˈspɪʃəs/,favorable,unfavorable,false,favorable| unfavorable| unfortunate| ominous,길조의| 불리한| 불행한| 불길한,吉利的| 不利| 不幸| 不祥,縁起の良い| 不利な| 不幸な| 不吉な,favorable| propitious| promising| fortunate,unfavorable| unfortunate| inauspicious| ominous
Austerity,Sternness or severity of manner or attitude,noun,The government imposed austerity measures.,/ɔːˈstɛrɪti/,rigor,luxury,false,severity| luxury| comfort| indulgence,엄격함| 사치| 편안함| 방종,严峻| 奢华| 舒适| 放纵,厳格さ| 贅沢| 快適さ| 放縦,rigor| severity| strictness| harshness,luxury| comfort| indulgence| opulence
Authentic,Of undisputed origin; genuine,adjective,The painting was an authentic Picasso.,/ɔːˈθɛntɪk/,genuine,fake,false,genuine| fake| counterfeit| false,진정한| 가짜의| 위조의| 거짓의,真实的| 假冒| 伪造| 虚假,本物の| 偽物| 模造品| 偽の,genuine| real| verifiable| true,fake| counterfeit| false| artificial
Avarice,Extreme greed for wealth or material gain,noun,His avarice led him to betray his friends.,/ˈævərɪs/,greed,generosity,false,greed| generosity| philanthropy| selflessness,탐욕| 관대함| 자선| 이타심,贪婪| 慷慨| 慈善| 无私,貪欲| 寛大さ| 慈善| 無私,greed| covetousness| cupidity| acquisitiveness,generosity| benevolence| philanthropy| liberality
Avid,Having or showing a keen interest in or enthusiasm for something,adjective,He was an avid reader.,/ˈævɪd/,enthusiastic,apathetic,false,enthusiastic| apathetic| indifferent| reluctant,열렬한| 무관심한| 냉담한| 내키지 않는,热情的| 冷漠| 冷漠| 不情愿,熱心な| 無関心な| 無関心な| 気乗りしない,enthusiastic| eager| keen| passionate,apathetic| indifferent| reluctant| uninterested
Awe,A feeling of reverential respect mixed with fear or wonder,noun,She gazed at the Grand Canyon in awe.,/ɔː/,wonder,indifference,false,wonder| indifference| contempt| disrespect,경외심| 무관심| 경멸| 무례,敬畏| 冷漠| 轻蔑| 不敬,畏敬| 無関心| 軽蔑| 無礼,wonder| reverence| amazement| admiration,indifference| contempt| disrespect| disdain
Axiom,A statement or proposition which is regarded as being established, accepted, or self-evidently true,noun,It is an axiom that supply and demand affect prices.,/ˈæksiəm/,postulate,absurdity,false,self-evident truth| absurdity| falsehood| paradox,자명한 진리| 불합리| 허위| 역설,不言而喻的真理| 荒谬| 虚假| 悖论,自明の理| 不条理| 虚偽| 逆説
Banal,So lacking in originality as to be obvious and boring,adjective,His speech was completely banal.,/bəˈnɑːl/,trite,original,false,trite| original| fresh| exciting,진부한| 독창적인| 신선한| 흥미로운,平庸的| 原创| 新鲜| 令人兴奋,陳腐な| 独創的な| 新鮮な| エキサイティングな,trite| unoriginal| commonplace| hackneyed,original| fresh| exciting| creative
Bane,A cause of great distress or annoyance,noun,Alcohol was the bane of his existence.,/beɪn/,curse,blessing,false,curse| blessing| benefit| advantage,고통의 원인| 축복| 이점| 이득,祸根| 祝福| 好处| 优势,悩みの種| 祝福| 利点| 利得,curse| scourge| blight| affliction,blessing| boon| benefit| advantage
Bellicose,Demonstrating aggression and willingness to fight,adjective,His bellicose attitude caused many arguments.,/ˈbɛlɪkoʊs/,aggressive,peaceful,false,aggressive| peaceful| calm| friendly,호전적인| 평화로운| 차분한| 친근한,好战的| 和平| 平静| 友好,好戦的な| 平和な| 穏やかな| 友好的な,aggressive| belligerent| hostile| warlike,peaceful| calm| amicable| friendly
Benevolent,Well meaning and kindly,adjective,A benevolent dictator is still a dictator.,/bəˈnɛvələnt/,kind,malicious,false,kind| malicious| cruel| unkind,자비로운| 악의적인| 잔인한| 불친절한,仁慈的| 恶意| 残酷| 不友善,慈悲深い| 悪意のある| 残酷な| 不親切な,kind| compassionate| philanthropic| altruistic,malicious| cruel| unkind| malevolent
Benign,Gentle and kindly,adjective,The tumor was benign.,/bɪˈnaɪn/,harmless,malignant,false,harmless| malignant| dangerous| harmful,양성의| 악성의| 위험한| 해로운,良性の| 恶性| 危险| 有害,良性の| 悪性の| 危険な| 有害な,harmless| gentle| kind| favorable,malignant| dangerous| harmful| hostile
Bigoted,Having or revealing an obstinate belief in the superiority of one's own opinions and a prejudiced intolerance of the opinions of others,adjective,A bigoted person often judges others unfairly.,/ˈbɪɡətɪd/,prejudiced,tolerant,false,prejudiced| tolerant| open-minded| fair,편협한| 관대한| 개방적인| 공정한,偏执的| 宽容| 开放| 公平,偏狭な| 寛容な| 心の広い| 公平な,prejudiced| narrow-minded| intolerant| biased,tolerant| open-minded| fair| unbiased
Blatant,Of an bad behavior done openly and unashamedly,adjective,It was a blatant lie.,/ˈbleɪtənt/,obvious,subtle,false,obvious| subtle| hidden| secret,노골적인| 미묘한| 숨겨진| 비밀의,公然的| 微妙| 隐藏| 秘密,露骨な| 微妙な| 隠された| 秘密の,obvious| flagrant| glaring| overt,subtle| hidden| concealed| discreet
Boisterous,Noisy, energetic, and cheerful,adjective,The crowd was boisterous.,/ˈbɔɪstərəs/,rowdy,quiet,false,noisy| quiet| calm| subdued,시끄러운| 조용한| 차분한| 억제된,喧闹的| 安静| 平静| 柔和,喧騒の| 静かな| 穏やかな| 控えめな
Brevity,Concise and exact use of words in writing or speech,noun,The brevity of his speech was appreciated.,/ˈbrɛvɪti/,conciseness,lengthiness,false,conciseness| lengthiness| verbosity| prolixity,간결함| 장황함| 수다| 장황함,简洁| 冗长| 啰嗦| 冗长,簡潔さ| 長さ| 多弁| 冗長さ,conciseness| succinctness| terseness| pithiness,lengthiness| verbosity| prolixity| extensiveness
Cajole,Persuade someone to do something by sustained coaxing or flattery,verb,He cajoled her into going out.,/kəˈdʒoʊl/,coax,discourage,false,coax| discourage| deter| dissuade,꼬드기다| 단념시키다| 방해하다| 설득하여 단념시키다,哄骗| 劝退| 阻止| 劝阻,なだめる| 思いとどまらせる| 阻止する| 説得してやめさせる,coax| wheedle| persuade| entice,discourage| deter| dissuade| bully
Callous,Showing or having an insensitive and cruel disregard for others,adjective,His callous remarks hurt her deeply.,/ˈkæləs/,heartless,compassionate,false,heartless| compassionate| kind| empathetic,무감각한| 동정심 많은| 친절한| 공감하는,冷酷无情| 富有同情心| 善良| 有同情心,冷酷な| 思いやりのある| 親切な| 共感的な,heartless| unfeeling| insensitive| cruel,compassionate| kind| empathetic| sympathetic
Candid,Truthful and straightforward; frank,adjective,She was candid about her past.,/ˈkændɪd/,frank,deceptive,false,frank| deceptive| dishonest| evasive,솔직한| 속이는| 부정직한| 회피적인,坦率| 欺骗| 不诚实| 回避,率直な| 欺瞞的な| 不誠実な| 回避的な,frank| honest| sincere| straightforward,deceptive| dishonest| evasive| secretive
Capricious,Given to sudden and unaccountable changes of mood or behavior,adjective,His capricious nature made him unreliable.,/kəˈprɪʃəs/,fickle,consistent,false,fickle| consistent| stable| predictable,변덕스러운| 일관된| 안정된| 예측 가능한,反复无常| 一致| 稳定| 可预测,気まぐれな| 一貫した| 安定した| 予測可能な,fickle| whimsical| volatile| erratic,consistent| stable| predictable| steadfast
Castigate,Reprimand (someone) severely,verb,The teacher castigated the student for cheating.,/ˈkæstɪɡeɪt/,scold,praise,false,scold| praise| commend| approve,혹평하다| 칭찬하다| 추천하다| 승인하다,严厉斥责| 赞扬| 表扬| 批准,厳しく叱責する| 褒める| 称賛する| 承認する,scold| reprimand| rebuke| chide,praise| commend| approve| laud
Caustic,Able to burn or corrode organic tissue by chemical action,adjective,The caustic remarks stung.,/ˈkɔːstɪk/,sarcastic,kind,false,sarcastic| kind| gentle| mild,신랄한| 친절한| 부드러운| 온화한,刻薄的| 善良| 温柔| 温和,辛辣な| 親切な| 優しい| 温和な,sarcastic| biting| acerbic| pungent,kind| gentle| mild| benevolent
Censure,Express severe disapproval of (someone or something),verb,The committee voted to censure the member.,/ˈsɛnʃər/,condemn,praise,false,condemn| praise| approve| applaud,비난하다| 칭찬하다| 승인하다| 박수하다,谴责| 赞扬| 批准| 鼓掌,非難する| 褒める| 承認する| 拍手する,condemn| criticize| reprimand| rebuke,praise| approve| applaud| commend
Chastise,Rebuke or reprimand severely,verb,He chastised his children for their disobedience.,/ˈʧæstaɪz/,punish,reward,false,punish| reward| praise| encourage,꾸짖다| 보상하다| 칭찬하다| 격려하다,惩罚| 奖励| 赞扬| 鼓励,罰する| 報いる| 褒める| 励ます,punish| scold| admonish| reprimand,reward| praise| encourage| commend
Chimerical,Hoped for but impossible to achieve,adjective,His dreams were chimerical.,/kaɪˈmɛrɪkəl/,fanciful,realistic,false,fanciful| realistic| achievable| practical,환상적인| 현실적인| 달성 가능한| 실용적인,异想天开的| 现实| 可实现| 实用,空想的な| 現実的な| 達成可能な| 実用的な,fanciful| illusory| imaginary| mythical,realistic| achievable| practical| tangible
Chronic,Persisting for a long time or constantly recurring,adjective,He suffered from chronic pain.,/ˈkrɒnɪk/,persistent,acute,false,persistent| acute| temporary| short-term,만성적인| 급성의| 일시적인| 단기적인,慢性的| 急性| 暂时| 短期,慢性的な| 急性の| 一時的な| 短期の,persistent| recurrent| continuous| long-standing,acute| temporary| transient| fleeting
Circumlocution,The use of many words where fewer would do,noun,He used circumlocution to avoid answering directly.,/ˌsɜːrkəmləˈkjuːʃən/,verbosity,brevity,false,verbosity| brevity| directness| conciseness,에두른 표현| 간결함| 직설적임| 간결성,迂回语| 简洁| 直接| 简洁,遠回しな表現| 簡潔さ| 直接性| 簡潔さ,verbosity| periphrasis| roundaboutness| wordiness,brevity| directness| conciseness| succinctness
Circumspect,Wary and unwilling to take risks,adjective,He was circumspect in his dealings.,/ˈsɜːrkəmspekt/,cautious,reckless,false,cautious| reckless| careless| bold,신중한| 무모한| 부주의한| 대담한,谨慎| 鲁莽| 粗心| 大胆,慎重な| 無謀な| 不注意な| 大胆な,cautious| wary| prudent| guarded,reckless| careless| bold| impetuous
Clairvoyant,Having or exhibiting a supernatural power of seeing objects or actions beyond the range of natural vision,noun,She claimed to be clairvoyant.,/klɛərˈvɔɪənt/,psychic,skeptical,false,psychic| skeptical| logical| rational,천리안| 회의적인| 논리적인| 합리적인,千里眼| 怀疑| 逻辑| 理性,千里眼| 懐疑的な| 論理的な| 合理的な,psychic| prophetic| visionary| telepathic,skeptical| logical| rational| realistic
Clemency,Mercy; lenience,noun,The judge showed clemency to the defendant.,/ˈklɛmənsi/,mercy,harshness,false,mercy| harshness| severity| cruelty,관대함| 가혹함| 엄격함| 잔인함,仁慈| 严酷| 严厉| 残忍,寛大な| 厳しさ| 厳格さ| 残酷さ,mercy| lenience| compassion| forgiveness,harshness| severity| cruelty| strictness
Coalesce,Come together to form one mass or whole,verb,The small groups coalesced into one large organization.,/ˌkoʊəˈlɛs/,merge,separate,false,merge| separate| divide| disperse,합쳐지다| 분리하다| 나누다| 흩어지다,合并| 分开| 分裂| 分散,合体する| 分離する| 分割する| 分散する,merge| unite| combine| fuse,separate| divide| disperse| split
Coerce,Persuade (an unwilling person) to do something by using force or threats,verb,He was coerced into signing the document.,/koʊˈɜːrs/,compel,persuade,false,compel| persuade| convince| advise,강요하다| 설득하다| 납득시키다| 조언하다,强制| 说服| 说服| 建议,強制する| 説得する| 納得させる| 助言する,compel| force| pressure| intimidate,persuade| convince| advise| entice
Cogent,Clear, logical, and convincing,adjective,She presented a cogent argument.,/ˈkoʊdʒənt/,convincing,weak,false,convincing| weak| illogical| unpersuasive,설득력 있는| 약한| 비논리적인| 설득력 없는,有说服力的| 弱| 不合逻辑| 无法说服,説得力のある| 弱い| 非論理的な| 説得力のない
Cognizant,Having knowledge or being aware of,adjective,He was cognizant of the risks.,/ˈkɒɡnɪzənt/,aware,unaware,false,aware| unaware| ignorant| oblivious,인지하는| 모르는| 무지한| 망각하는,意识到| 不知情| 无知| 遗忘,認識している| 知らない| 無知な| 忘れている,aware| conscious| informed| acquainted,unaware| ignorant| oblivious| unconscious
Coherent,Logical and consistent,adjective,Her argument was clear and coherent.,/koʊˈhɪərɪnt/,logical,incoherent,false,logical| incoherent| disorganized| confused,논리적인| 비논리적인| 무질서한| 혼란스러운,连贯的| 不连贯| 混乱| 困惑,首尾一貫した| 首尾一貫しない| 無秩序な| 混乱した,logical| consistent| rational| organized,incoherent| disorganized| confused| illogical
Complacent,Showing smug or uncritical satisfaction with oneself or one's achievements,adjective,He was too complacent about his success.,/kəmˈpleɪsənt/,smug,dissatisfied,false,smug| dissatisfied| discontent| humble,자기만족적인| 불만족스러운| 불평하는| 겸손한,自满的| 不满意| 不满| 谦虚,自己満足の| 不満な| 不満な| 謙虚な,smug| self-satisfied| self-assured| unconcerned,dissatisfied| discontent| humble| anxious
Complicity,The state of being involved with others in an illegal activity or wrongdoing,noun,He was accused of complicity in the crime.,/kəmˈplɪsɪti/,collusion,innocence,false,collusion| innocence| detachment| ignorance,공모| 무죄| 분리| 무지,共谋| 无罪| 超脱| 无知,共謀| 無罪| 超然| 無知,collusion| involvement| connivance| participation,innocence| detachment| non-involvement| ignorance
Concede,Admit that something is true or valid after first denying or resisting it,verb,He conceded the point.,/kənˈsiːd/,admit,deny,false,admit| deny| refuse| reject,인정하다| 부인하다| 거부하다| 거절하다,承认| 否认| 拒绝| 拒绝,認める| 否定する| 拒否する| 拒絶する,admit| acknowledge| grant| yield,deny| refuse| reject| resist
Conciliatory,Intended or likely to placate or pacify,adjective,He made conciliatory remarks.,/kənˈsɪliətɔːri/,appeasing,provocative,false,appeasing| provocative| hostile| aggressive,회유적인| 도발적인| 적대적인| 공격적인,调解的| 挑衅| 敌对| 侵略性,融和的な| 挑発的な| 敵対的な| 攻撃的な,appeasing| placatory| pacifying| reconciliatory,provocative| hostile| aggressive| antagonistic
Concur,Agree,verb,I concur with your opinion.,/kənˈkɜːr/,agree,disagree,false,agree| disagree| oppose| refuse,동의하다| 반대하다| 반대하다| 거부하다,同意| 不同意| 反对| 拒绝,同意する| 反対する| 反対する| 拒否する,agree| assent| consent| coincide,disagree| oppose| dissent| refuse
Condone,Accept and allow (behavior that is considered morally wrong or offensive) to continue,verb,The school does not condone bullying.,/kənˈdoʊn/,overlook,condemn,false,overlook| condemn| punish| forbid,용납하다| 비난하다| 처벌하다| 금지하다,容忍| 谴责| 惩罚| 禁止,容認する| 非難する| 罰する| 禁止する,overlook| excuse| forgive| tolerate,condemn| punish| forbid| disapprove
